	exp1	exp2
K00031	-0.19320923	-0.264237686
K05609	-0.193785286	1.004441503
K01110	-0.193963749	0.374606425
K11188	-0.194380684	0.000281691
K13721	-0.19476945	-1.804811743
K02641	-0.202694006	1.087115168
K04505	-0.205574413	-0.278600433
K08955	-0.205730569	-0.106629574
K05941	-0.206978957	0.782758362
K00036	-0.209502004	0.421469045
K00432	-0.209886727	-0.217428909
K03165	-0.210582654	-0.229500963
K01623	-0.211836611	0.240771633
K02515	-0.212126685	-0.378279889
K08955	-0.21253208	-0.267399304
K05609	-0.212751228	0.848245281
K09647	-0.213207997	0.883643371
K01850	-0.213828204	1.004905936
K09756	-0.219160865	-0.171600237
K01876	-0.220377697	-0.626453144
K02740	-0.221176821	1.098061676
K09647	-0.221910328	-0.273807953
K02740	-0.224168626	0.990651095
K00903	-0.22783509	-0.319889872
K00036	-0.227961052	-0.05020973
K02740	-0.230382838	1.489062325
K01184	-0.232011083	-0.331487727
K00605	-0.232217944	-1.37465279
K00903	-0.233920491	0.470712264
K00872	-0.236542744	0.689984342
K02515	-0.242251744	-2.939752725
K00903	-0.24290093	0.30071417
K08955	-0.248517444	-0.293753633
K00967	-0.249196499	0.081671494
K05609	-0.251718358	0.768549964
K11126	-0.254776722	-0.447246261
K00861	-0.256842186	-0.525260738
K02515	-0.256989509	0.475447739
K02740	-0.256992536	1.190391644
K08658	-0.257153083	0.256962239
K06067	-0.259051825	0.408667623
K05955	-0.26644069	0.751402698
K01597	-0.269039658	0.110907395
K05609	-0.269736395	-1.179966657
K02740	-0.271058079	1.388874711
K01881	-0.271869582	-0.279962508
K02372	-0.272697509	0.877117556
K08955	-0.273553189	-0.872346401
K08955	-0.274994553	-0.190981986
K12350	-0.276030954	0.355463505
K08955	-0.276704083	0.003542455
K01885	-0.27789459	-0.062528752
K02515	-0.283630443	-0.47598538
K03178	-0.288808043	-1.181409316
K09647	-0.288842276	-0.717717074
K06928	-0.290612019	1.325463025
K00903	-0.290966649	-0.421169426
K02515	-0.292166088	-0.941783227
K11188	-0.292810425	0.09125583
K02740	-0.294103611	1.875610952
K09647	-0.294700603	-0.115757171
K04498	-0.298223776	0.222345679
K06928	-0.298279049	0.340550048
K01880	-0.299097368	-0.318940997
K09647	-0.301696736	-1.057303066
K06928	-0.30338954	-0.708601479
K06928	-0.304578136	-0.353484494
K01880	-0.311840181	0.012245598
K00655	-0.312427243	-0.372860679
K00255	-0.314368187	-0.07218097
K02740	-0.314730225	0.838720453
K08955	-0.31557126	-0.301929278
K02740	-0.317313005	1.967843796
K02515	-0.318086959	0.313842376
K00297	-0.318703525	0.506556266
K00872	-0.321371222	0.49067452
K05609	-0.324698576	-0.031817111
K01074	-0.326332537	0.410815486
K01110	-0.330279674	0.641813531
K05609	-0.330655086	-1.164688086
K00903	-0.333155563	-0.438618829
K06928	-0.335318234	-1.177161654
K09647	-0.336747671	0.077837549
K03178	-0.338166456	-0.32814892
K00134	-0.338592512	0.725342963
K05609	-0.33861314	0.679028143
K13721	-0.343464336	0.220132901
K01703	-0.350230307	-0.145125562
K00903	-0.350444188	-0.143204463
K00052	-0.351111322	-0.659538151
K00255	-0.351461957	0.48968492
K11787	-0.351569683	-2.403501774
K13821	-0.355238843	0.575868095
K05609	-0.356616501	-0.899596448
K11262	-0.356646105	-2.420303613
K03178	-0.359104217	0.217968404
K08658	-0.362470866	-0.554701971
K00859	-0.366557801	-0.100001653
K00826	-0.367842111	0.725192933
K02515	-0.370021235	-0.276077419
K00864	-0.373699925	0.118553952
K06047	-0.373785779	0.349771868
K05609	-0.376367945	-0.537521953
K01110	-0.380714325	0.436883269
K00276	-0.382858962	0.117316758
K00428	-0.383033748	1.417605493
K02740	-0.389342124	1.476278381
K02515	-0.390601591	0.589450929
K13721	-0.390946106	1.019327967
K01883	-0.402345776	-0.669025041
K11126	-0.404599233	-1.739121552
K01889	-0.407918892	-0.869355979
K01930	-0.408550446	0.073272722
K05609	-0.408879402	0.041363654
K09647	-0.409950261	0.057022729
K01480	-0.417929242	0.20529233
K02740	-0.419141308	1.214491378
K06928	-0.420282321	1.11601192
K11188	-0.425301892	-0.049167438
K00428	-0.425695569	1.129410204
K01814	-0.428787661	0.099748675
K08658	-0.430661631	-0.667667964
K13721	-0.431370649	-0.496880014
K00931	-0.434082334	0.008934686
K08955	-0.434285885	-0.280406362
K09756	-0.434899443	-0.067697151
K20772	-0.436942737	1.390536872
K06928	-0.437165467	0.299013785
K02515	-0.438734935	-0.165554902
K02740	-0.439424795	1.255469083
K06928	-0.445187097	-0.091813472
K03439	-0.447262435	-0.76667539
K02515	-0.452529186	0.064539641
K06928	-0.452918262	-0.110439875
K05609	-0.453089777	-0.209588436
K03439	-0.455294163	-0.884357218
K00873	-0.458576046	0.237930032
K00432	-0.458995355	-0.656057949
K13721	-0.459717792	-0.352242619
K09756	-0.460403406	0.174068776
K00903	-0.464063824	0.120175625
K05609	-0.465086354	-1.499298881
K13721	-0.467012869	0.899367225
K06928	-0.467305586	-1.755946498
K06067	-0.470840487	0.363550472
K08955	-0.471320118	-0.390843876
K06928	-0.471395453	0.08415544
K02515	-0.472347122	-0.489519992
K09647	-0.473408824	0.470903602
K09647	-0.474745701	-0.157935339
K04505	-0.475180034	-0.163790024
K04564	-0.476261003	0.877895463
K08955	-0.476876674	-0.236476327
K08955	-0.477595027	-0.084653612
K05609	-0.478089476	-1.15885134
K08658	-0.478773376	0.220503978
K03178	-0.481897629	1.572251127
K11188	-0.482297988	-0.086726928
K02740	-0.482393909	0.541824683
K00573	-0.485174583	0.395247958
K08955	-0.490227815	-0.708793483
K02740	-0.491470693	1.097375271
K11188	-0.49562868	-0.602936713
K05609	-0.496354944	-1.071354726
